               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,             0.03993,            0.022173,            0.017316,                0.04,                   1,              0.4343,             0.15494,            0.034696,            0.010966,            0.066295,            0.004951,            0.004951,            0.004951
                  53,            0.053305,            0.019298,            0.017903,            0.037975,                 0.9,               0.462,             0.17478,            0.030772,            0.011268,            0.067259,            0.004852,            0.004852,            0.004852
                  54,             0.05185,            0.024254,            0.016408,            0.037975,                 0.9,               0.462,             0.17478,            0.030772,            0.011268,            0.067259,            0.004753,            0.004753,            0.004753
                  55,             0.03283,            0.021095,            0.015467,            0.051546,                   1,             0.41991,            0.073577,            0.042981,             0.00972,            0.069793,            0.004654,            0.004654,            0.004654
                  56,            0.053163,            0.024243,            0.016345,            0.051546,                   1,             0.41991,            0.073577,            0.042981,             0.00972,            0.069793,            0.004555,            0.004555,            0.004555
                  57,            0.046562,            0.023083,             0.01791,             0.03913,                 0.9,             0.39143,             0.11485,            0.034639,            0.010285,            0.070326,            0.004456,            0.004456,            0.004456
                  58,            0.056758,            0.020823,            0.023635,             0.03913,                 0.9,             0.39143,             0.11485,            0.034639,            0.010285,            0.070326,            0.004357,            0.004357,            0.004357
                  59,            0.042447,            0.019453,            0.015619,            0.031373,                 0.8,             0.35571,             0.12579,            0.031999,            0.010497,            0.072808,            0.004258,            0.004258,            0.004258
                  60,            0.036947,            0.020434,            0.014548,            0.031373,                 0.8,             0.35571,             0.12579,            0.031999,            0.010497,            0.072808,            0.004159,            0.004159,            0.004159
                  61,             0.03768,            0.019431,            0.034274,            0.033898,                 0.8,             0.44209,             0.18921,            0.028979,             0.01048,            0.076597,             0.00406,             0.00406,             0.00406
                  62,            0.046216,            0.017583,            0.018752,            0.033898,                 0.8,             0.44209,             0.18921,            0.028979,             0.01048,            0.076597,            0.003961,            0.003961,            0.003961
                  63,            0.041744,            0.017558,            0.027542,            0.040359,                 0.9,             0.37782,             0.15776,            0.037077,           0.0092487,            0.078906,            0.003862,            0.003862,            0.003862
                  64,             0.04529,             0.02257,            0.022275,            0.040359,                 0.9,             0.37782,             0.15776,            0.037077,           0.0092487,            0.078906,            0.003763,            0.003763,            0.003763
                  65,            0.034899,            0.016732,            0.016232,            0.041026,                 0.8,             0.56341,             0.21945,             0.02896,           0.0099172,            0.082034,            0.003664,            0.003664,            0.003664
                  66,            0.046638,            0.017218,            0.017817,            0.041026,                 0.8,             0.56341,             0.21945,             0.02896,           0.0099172,            0.082034,            0.003565,            0.003565,            0.003565
                  67,            0.074911,            0.018808,            0.022755,            0.052632,                 0.9,             0.65676,             0.20727,            0.029985,           0.0097632,            0.082793,            0.003466,            0.003466,            0.003466
                  68,            0.043168,            0.022308,            0.016145,            0.052632,                 0.9,             0.65676,             0.20727,            0.029985,           0.0097632,            0.082793,            0.003367,            0.003367,            0.003367
                  69,            0.028266,            0.020082,            0.013941,            0.044118,                 0.9,             0.61538,              0.3337,             0.03024,           0.0094147,            0.086312,            0.003268,            0.003268,            0.003268
                  70,            0.032806,            0.016312,            0.013623,            0.044118,                 0.9,             0.61538,              0.3337,             0.03024,           0.0094147,            0.086312,            0.003169,            0.003169,            0.003169
                  71,            0.042405,            0.016492,            0.016099,            0.047619,                 0.8,             0.76667,             0.33826,            0.034967,           0.0085028,            0.086099,             0.00307,             0.00307,             0.00307
                  72,            0.049927,            0.020835,            0.021183,            0.047619,                 0.8,             0.76667,             0.33826,            0.034967,           0.0085028,            0.086099,            0.002971,            0.002971,            0.002971
                  73,            0.049748,            0.019864,              0.0139,            0.049451,                 0.9,             0.84286,             0.47186,            0.029634,           0.0085788,            0.087264,            0.002872,            0.002872,            0.002872
                  74,            0.029735,            0.020155,            0.011543,            0.049451,                 0.9,             0.84286,             0.47186,            0.029634,           0.0085788,            0.087264,            0.002773,            0.002773,            0.002773
                  75,            0.034169,            0.016903,            0.021646,            0.069444,                   1,             0.98591,             0.45691,            0.028454,           0.0082618,            0.090423,            0.002674,            0.002674,            0.002674
                  76,            0.035787,            0.018622,            0.018826,            0.069444,                   1,             0.98591,             0.45691,            0.028454,           0.0082618,            0.090423,            0.002575,            0.002575,            0.002575
                  77,            0.028588,            0.018688,            0.010286,             0.10753,                   1,             0.86722,             0.25616,            0.030895,           0.0078427,            0.093939,            0.002476,            0.002476,            0.002476
                  78,            0.037419,            0.019223,            0.012887,             0.10753,                   1,             0.86722,             0.25616,            0.030895,           0.0078427,            0.093939,            0.002377,            0.002377,            0.002377
                  79,            0.049614,            0.018747,            0.011437,            0.073529,                   1,               0.995,             0.30318,            0.027471,           0.0081377,            0.095147,            0.002278,            0.002278,            0.002278
                  80,            0.051328,            0.017512,            0.013476,            0.073529,                   1,               0.995,             0.30318,            0.027471,           0.0081377,            0.095147,            0.002179,            0.002179,            0.002179
                  81,            0.035507,            0.016261,            0.026882,            0.081967,                   1,               0.995,             0.39637,            0.028116,           0.0080682,            0.097482,             0.00208,             0.00208,             0.00208
                  82,            0.048545,            0.018645,             0.02024,            0.081967,                   1,               0.995,             0.39637,            0.028116,           0.0080682,            0.097482,            0.001981,            0.001981,            0.001981
                  83,            0.035685,            0.019969,            0.011046,            0.076923,                   1,               0.995,             0.52515,            0.022575,            0.008295,            0.098313,            0.001882,            0.001882,            0.001882
                  84,            0.038015,             0.02072,             0.01402,            0.076923,                   1,               0.995,             0.52515,            0.022575,            0.008295,            0.098313,            0.001783,            0.001783,            0.001783
                  85,            0.027367,             0.01537,           0.0090677,            0.067568,                   1,             0.97833,             0.48354,            0.031322,           0.0077508,            0.098508,            0.001684,            0.001684,            0.001684
                  86,            0.046307,            0.016526,            0.016172,            0.067568,                   1,             0.97833,             0.48354,            0.031322,           0.0077508,            0.098508,            0.001585,            0.001585,            0.001585
                  87,            0.038504,              0.0162,             0.01073,            0.022831,                   1,               0.995,             0.46651,            0.026857,           0.0085305,            0.099123,            0.001486,            0.001486,            0.001486
                  88,             0.04576,            0.016084,            0.028966,            0.022831,                   1,               0.995,             0.46651,            0.026857,           0.0085305,            0.099123,            0.001387,            0.001387,            0.001387
                  89,            0.037852,            0.016478,            0.015173,            0.025575,                   1,               0.995,             0.48062,            0.024762,           0.0084208,              0.0999,            0.001288,            0.001288,            0.001288
                  90,            0.033626,            0.016745,            0.010194,            0.025575,                   1,               0.995,             0.48062,            0.024762,           0.0084208,              0.0999,            0.001189,            0.001189,            0.001189
                  91,            0.028056,             0.01672,           0.0086411,            0.030303,                   1,               0.995,              0.5212,            0.024193,           0.0083503,            0.099547,             0.00109,             0.00109,             0.00109
                  92,            0.024954,            0.018231,            0.009366,            0.030303,                   1,               0.995,              0.5212,            0.024193,           0.0083503,            0.099547,            0.000991,            0.000991,            0.000991
                  93,            0.037573,            0.020416,            0.012127,            0.033223,                   1,               0.995,             0.53051,            0.023778,             0.00819,            0.099315,            0.000892,            0.000892,            0.000892
                  94,             0.04224,            0.016793,            0.018324,            0.033223,                   1,               0.995,             0.53051,            0.023778,             0.00819,            0.099315,            0.000793,            0.000793,            0.000793
                  95,            0.039429,            0.018925,            0.012495,            0.032895,                   1,               0.995,             0.55318,            0.023539,           0.0081293,            0.099236,            0.000694,            0.000694,            0.000694
                  96,            0.036406,            0.014581,            0.016992,            0.032895,                   1,               0.995,             0.55318,            0.023539,           0.0081293,            0.099236,            0.000595,            0.000595,            0.000595
                  97,            0.046378,            0.018835,            0.024414,            0.030211,                   1,               0.995,             0.55909,            0.024131,           0.0080887,            0.098979,            0.000496,            0.000496,            0.000496
                  98,            0.038806,            0.017307,            0.013594,            0.030211,                   1,               0.995,             0.55909,            0.024131,           0.0080887,            0.098979,            0.000397,            0.000397,            0.000397
                  99,            0.046671,            0.016801,            0.017843,              0.0369,                   1,               0.995,             0.54609,            0.024703,           0.0078616,            0.098899,            0.000298,            0.000298,            0.000298
